product,purchase_count,purchase_rate_pct,demand_score
Soft drinks,291,62.6,5.1
Bottled water / pure water (sachet),386,83.0,4.98
Rice / beans / cooked food,343,73.8,4.43
Bread / Butter bread,236,50.8,4.18
Printing / photocopy,202,43.4,3.23
Biscuits / Snacks,245,52.7,3.16
Instant noodles (Indomie),190,40.9,2.45
Energy drinks,61,13.1,2.13
"Provisions (sugar, milk, etc.)",105,22.6,2.08
Airtime / data top-up,158,34.0,2.04
"Phone accessories (charger, earpiece)",84,18.1,1.99
"Toiletries (soap, toothpaste, tissue)",87,18.7,1.86
Tea / Milo / beverages,133,28.6,1.72
Pens / pencils / writing materials,131,28.2,1.69
Medications,41,8.8,1.41
Exercise books / notebooks,103,22.2,1.33
Stapler / office supplies,1,0.2,0.35
