timestamp,level,college,buy_frequency,daily_spend,products_bought,stockout_freq,stockout_action,items_not_found,wish_vendors_sold,water_bags_per_week,bread_frequency,cooked_food_frequency,stationery_frequency,toiletries_frequency,vendor_choice_reason,stopped_buying,other_comments,daily_spend_clean,w_water,w_bread,w_food,w_stationery,w_toiletries,buy_freq_clean,stockout_freq_clean,buys_water,buys_stationery,stopped_clean,freq_num,spend_num
4/28/2026 18:15,400,CONAS,Every day,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Cold drinks / chilled beverages",Beer would be nice,610 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their food or products taste/feel better",I've thought about it,Sell beer,"₦1,001 – ₦2,000",3,3,5,1,1,Daily,Sometimes,1,0,Considered it,5,1500
4/28/2026 18:15,400,CONAS,Every day,"?1,001  ?2,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Rice / beans / cooked food, Printing / photocopy, Toiletries (soap, toothpaste, tissue, etc.), Phone accessories (charger, earpiece, etc.)",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food, Phone accessories",Hot bread from oven,15 bags,Once or twice a week,Once a day,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor","Yes, more than once",Decrease thier Prices,"₦1,001 – ₦2,000",2,3,4,1,1,Daily,Sometimes,1,0,Yes - multiple times,5,1500
4/28/2026 18:16,400,CONAS,Every day,"?2,001  ?3,000",Rice / beans / cooked food,Rarely,Try another vendor on campus,"None  I usually find what I need,",No product,15 bags,Once or twice a week,Twice or more daily,Only at the start of semester,Rarely / never,They always have what I need in stock,"Yes, more than once",They should improve their services,"₦2,001 – ₦3,000",2,3,5,2,1,Daily,Rarely,0,0,Yes - multiple times,5,2500
4/28/2026 18:43,400,CACOS,Every day,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food",Rarely,Try another vendor on campus,"Cold drinks / chilled beverages, Toiletries (e.g., a specific soap or toothpaste brand), Medications / First aid items","Kellogs and other box cereals, Cway Peach drink",15 bags,Rarely / never,Once a day,Rarely / never,Rarely / never,"Their prices are cheaper, Their food or products taste/feel better","Yes, once",To reduce prices and restock on time,"₦2,001 – ₦3,000",2,1,4,1,1,Daily,Rarely,1,0,Yes - once,5,2500
4/28/2026 18:50,400,CBSS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Instant noodles (Indomie, etc.), Rice / beans / cooked food, Airtime / data top-up, Printing / photocopy",Sometimes (once or twice a week),Try another vendor on campus,Medications / First aid items,Energy drinks,15 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,"They always have what I need in stock, Their prices are cheaper, Their location is more convenient, I have a relationship with the vendor",I've thought about it,,"More than ₦3,000",2,3,5,1,1,Daily,Sometimes,1,0,Considered it,5,3500
4/28/2026 18:50,400,CACOS,Rarely,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Biscuits / Snacks (chin-chin, puff-puff, meatpie etc.), Instant noodles (Indomie, etc.), Rice / beans / cooked food, Tea / Milo / beverages, Provisions (sugar, milk, etc.), Airtime / data top-up, Printing / photocopy, Pens / pencils / writing materials, Exercise books / jotters / notebooks, Toiletries (soap, toothpaste, tissue, etc.)",Sometimes (once or twice a week),Try another vendor on campus,"Specific provisions (e.g., a particular seasoning or spread), None  I usually find what I need",,15 bags,Once or twice a week,A few times a week,Rarely / never,Rarely / never,"Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better",I've thought about it,,"₦2,001 – ₦3,000",2,3,3,1,1,Rarely,Sometimes,1,1,Considered it,1,2500
4/28/2026 19:07,400,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Rice / beans / cooked food",Sometimes (once or twice a week),Try another vendor on campus,None  I usually find what I need,Maybe more food varieties,610 bags,Once or twice a week,Once a day,Rarely / never,Rarely / never,"Their prices are cheaper, Their location is more convenient, Their food or products taste/feel better, I have a relationship with the vendor","Yes, more than once",Variety,"More than ₦3,000",3,3,4,1,1,Daily,Sometimes,1,0,Yes - multiple times,5,3500
4/28/2026 19:08,400,CBSS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Rice / beans / cooked food, Tea / Milo / beverages, Provisions (sugar, milk, etc.), Airtime / data top-up, Printing / photocopy",Almost every time,Order it online,"Specific snack or food type (e.g., a particular brand)",,15 bags,Rarely / never,Twice or more daily,Rarely / never,Weekly,Their location is more convenient,"Yes, more than once",,"More than ₦3,000",2,1,5,1,5,Daily,Very Often,1,0,Yes - multiple times,5,3500
4/28/2026 19:12,200,CONAS,Every day,"?2,001  ?3,000","Bottled water / pure water (sachet/bags), Soft drinks (Coke, Pepsi, Fanta, etc.), Bread, Rice / beans / cooked food, Printing / photocopy",Sometimes (once or twice a week),Try another vendor on campus,"Specific snack or food type (e.g., a particular brand), Specific type of bread or food, Printing paper / cardboard, Phone accessories",Football Items,610 bags,Once or twice a week,Twice or more daily,Rarely / never,Rarely / never,"Their location is more convenient, Their food or products taste/feel better",I've thought about it,Their Staff and also Business Strategy Also Work attitudes to buyer.,"₦2,001 – ₦3,000",3,3,5,1,1,Daily,Sometimes,1,0,Considered it,5,2500
4/28/2026 19:19,400,CONAS,Every day,"More than ?3,000","Bottled water / pure water (sachet/bags), Bread, Tea / Milo / beverages, Airtime / data top-up, Printing / photocopy, Pens / pencils / writing materials, Exercise books / jotters / notebooks",Sometimes (once or twice a week),Ask a friend to get it for me,"Specific snack or food type (e.g., a particular brand), Medications / First aid items",,15 bags,Rarely / never,Twice or more daily,Rarely / never,Rarely / never,Their prices are cheaper,No,,"More than ₦3,000",2,1,5,1,1,Daily,Sometimes,1,1,No,5,3500
